834 2747
627 354 51
337 600 111
317 202 383
804 24 855
251 502 461
585 427 886
180 86 73
461 236 722
435 382 874
512 527 118
482 526 170
213 142 586
661 769 933
108 149 70
97 413 127
540 515 385
762 427 92
422 188 263
306 67 428
481 271 644
740 546 139
823 210 730
578 635 792
621 271 318
822 773 629
395 343 123
347 597 214
622 363 387
149 115 104
402 314 721
133 107 172
795 694 941
809 428 529
615 689 18
294 600 433
71 630 609
302 56 303
9 183 728
560 807 887
595 380 246
332 805 238
7 99 964
408 652 955
635 472 695
105 722 565
677 98 48
444 650 94
292 42 623
133 221 703
154 714 604
758 745 40
817 540 585
687 251 672
182 505 249
243 247 748
551 304 828
256 265 981
53 570 850
349 488 866
336 257 369
226 779 235
800 393 843
397 580 324
374 664 747
383 763 444
494 311 584
51 706 159
164 185 216
368 168 292
258 107 157
432 230 410
347 274 143
96 299 449
645 463 671
587 735 218
76 7 55
780 294 962
270 414 441
620 256 766
615 388 402
140 739 6
260 191 940
831 366 999
166 352 26
264 283 191
18 366 349
585 543 75
581 682 829
312 592 823
628 255 405
160 654 152
577 624 46
393 604 165
106 562 627
654 163 510
91 749 432
730 251 816
141 78 606
833 437 437
549 110 691
152 83 351
571 295 525
453 121 398
766 577 262
632 30 191
151 531 474
270 511 834
628 382 387
180 272 459
770 720 339
74 526 285
536 305 689
565 472 433
266 438 925
262 69 807
266 292 614
158 803 494
564 264 830
677 7 949
40 326 635
499 441 63
525 284 667
610 401 351
504 828 867
317 245 10
517 537 811
37 325 955
376 524 588
519 634 664
452 778 463
455 191 930
549 235 810
189 8 494
530 60 318
523 43 199
128 710 181
79 773 251
361 256 704
509 204 391
8 738 301
205 24 556
586 424 786
485 719 113
573 208 181
256 71 503
245 396 70
609 189 132
428 797 494
511 228 440
320 671 804
527 823 543
368 526 820
569 487 379
69 411 804
357 775 804
687 222 340
282 353 714
532 6 905
574 675 985
662 590 963
651 164 228
293 371 780
186 541 440
718 745 447
208 137 440
223 725 393
403 195 325
729 342 998
619 723 871
596 712 312
76 147 26
156 612 896
765 162 761
303 631 797
493 250 455
803 191 338
823 355 96
218 58 73
71 119 603
367 407 233
775 45 694
168 219 493
71 655 178
706 726 205
503 781 18
368 691 952
754 631 134
135 649 811
355 430 273
283 99 610
184 436 234
394 618 956
260 441 335
339 818 707
309 174 480
127 101 729
196 739 347
538 184 168
627 817 413
491 756 66
3 509 430
676 338 783
223 460 759
417 460 320
449 97 962
361 295 426
647 571 91
334 780 7
22 246 449
209 228 296
471 559 172
616 256 747
426 372 826
163 648 778
60 310 537
573 735 408
77 101 887
515 669 599
58 631 297
515 413 627
218 437 564
128 278 359
511 512 180
593 86 251
301 637 751
9 700 642
96 11 369
352 111 268
78 568 461
771 593 802
220 768 706
428 175 514
652 756 491
383 801 496
284 742 801
553 101 899
414 721 63
680 534 848
736 497 130
676 601 722
755 720 1000
761 261 30
443 298 181
80 126 747
660 364 194
780 606 825
833 188 491
563 833 413
278 478 106
242 480 397
735 508 594
92 74 670
795 506 384
731 198 103
715 552 846
622 626 594
235 163 766
551 772 710
288 137 58
303 336 848
446 539 253
567 750 839
495 303 360
505 516 129
338 22 904
60 809 994
391 357 579
811 344 578
261 675 164
234 697 752
679 196 905
309 175 600
451 246 418
288 245 889
402 399 606
775 492 794
597 470 205
825 325 386
477 450 370
682 98 685
744 795 741
316 692 712
234 529 432
674 70 362
172 141 459
233 377 283
614 592 102
585 617 301
239 594 381
4 796 798
499 444 140
681 113 141
742 796 767
207 268 983
346 173 615
181 367 671
765 645 518
423 72 306
72 591 330
382 199 479
593 723 672
797 271 874
599 434 826
140 348 365
19 511 756
135 616 131
749 152 163
444 530 882
292 533 966
27 568 573
573 617 617
94 814 772
610 291 62
477 196 541
772 557 985
437 705 445
765 581 372
454 649 130
164 572 288
173 378 337
566 105 577
495 89 65
170 728 997
773 188 399
283 718 560
782 308 156
551 445 936
622 586 809
666 539 377
629 280 404
76 707 664
826 626 430
66 224 134
51 412 606
375 446 620
158 173 747
502 814 448
662 512 696
306 446 437
370 813 609
803 363 246
374 765 411
587 776 660
748 540 499
747 61 793
691 263 759
22 102 299
175 267 570
790 285 485
142 255 566
441 422 34
81 98 741
600 314 163
738 248 477
272 240 24
540 672 491
819 483 406
444 737 393
452 296 488
650 437 260
349 99 502
243 449 518
338 818 615
594 734 801
807 72 636
100 271 379
410 444 194
222 799 30
571 807 45
274 134 320
363 26 812
610 226 673
589 805 120
509 29 709
388 341 753
456 14 593
65 519 954
141 806 462
17 739 339
241 622 174
537 313 869
395 413 688
566 484 806
712 598 39
185 368 876
492 20 253
481 652 567
427 168 541
211 596 445
228 641 868
359 372 877
320 752 753
86 351 525
165 632 16
665 702 867
547 399 395
582 726 14
408 278 482
259 634 239
10 828 346
443 761 722
524 447 847
13 612 477
775 209 881
414 399 788
445 601 430
753 721 905
447 708 483
132 518 727
758 382 437
448 400 775
211 525 44
44 697 570
771 288 252
378 759 953
388 382 159
206 351 408
700 622 851
463 279 831
146 385 127
220 154 186
159 603 518
493 509 849
280 739 343
625 701 436
361 511 303
209 347 900
782 830 274
524 276 839
19 120 772
302 76 926
695 201 809
84 647 922
5 217 194
199 27 760
223 109 981
820 268 350
436 329 892
699 473 387
723 505 141
73 570 243
79 529 385
716 762 453
637 360 337
272 106 95
387 464 636
698 402 562
47 574 892
669 535 476
484 471 370
797 59 724
400 447 325
92 185 741
118 347 38
288 802 781
418 19 393
31 675 967
293 154 364
623 812 187
751 266 381
398 32 960
441 415 6
197 647 699
469 383 846
760 41 751
735 224 773
350 140 85
91 473 624
594 578 777
183 169 234
427 265 746
270 167 279
379 555 331
248 812 292
299 506 932
702 522 227
452 388 502
279 234 874
810 283 22
614 742 426
411 296 589
134 218 315
9 495 160
363 739 494
114 425 824
688 526 601
507 1 795
803 808 473
344 104 275
305 708 643
337 706 346
243 22 303
645 234 332
333 232 417
781 95 371
288 634 960
240 81 172
114 197 948
588 472 70
611 180 119
450 513 484
449 298 669
504 735 743
180 656 223
763 272 987
330 829 336
545 538 171
273 436 700
331 284 941
668 719 670
474 629 952
828 281 919
195 175 841
168 733 263
598 476 421
55 570 186
788 188 33
241 152 806
231 702 752
812 605 33
664 187 994
323 825 968
368 187 388
483 10 408
403 565 490
365 178 60
700 172 545
708 343 673
726 570 372
698 293 788
38 101 698
368 459 870
430 370 253
629 469 738
628 539 102
283 254 656
411 145 700
457 198 896
736 672 989
506 116 281
370 490 44
94 427 970
497 388 286
113 318 979
756 317 68
556 458 351
583 522 503
327 799 497
118 278 79
81 600 809
757 43 722
401 161 30
43 632 524
187 67 234
72 663 316
338 477 57
153 466 486
42 337 802
601 585 306
62 618 320
686 793 479
313 86 936
335 428 80
111 44 842
799 778 121
759 386 784
571 647 792
712 568 184
175 774 308
691 815 310
6 781 164
78 455 202
23 645 692
527 86 929
38 612 507
320 385 245
379 200 327
769 758 322
744 38 480
563 94 424
771 313 234
182 38 971
640 278 664
258 748 328
315 194 672
427 359 370
224 195 106
501 713 596
522 250 859
246 199 315
157 424 440
755 41 964
707 516 37
273 356 424
415 468 462
184 40 603
289 699 950
681 600 672
396 803 618
413 671 525
194 799 183
834 574 506
94 529 174
585 116 263
8 481 920
35 251 850
178 811 377
175 830 531
138 24 547
499 545 894
726 207 248
396 206 808
548 119 839
155 796 901
742 202 487
421 637 886
825 492 60
541 478 816
84 780 336
559 67 331
511 558 479
701 133 675
567 378 155
334 461 940
365 563 347
581 778 699
697 3 129
4 365 95
48 756 570
472 774 147
702 385 992
94 481 123
829 225 835
323 682 735
300 76 371
726 338 669
614 130 239
721 104 817
608 638 168
715 382 822
631 708 94
223 487 900
379 33 89
107 516 330
693 224 171
512 67 846
282 303 595
475 341 192
210 3 786
232 725 48
285 166 559
712 550 203
467 200 395
351 739 911
96 365 443
352 319 96
362 107 949
465 481 601
558 810 464
642 290 266
85 818 428
262 346 889
28 658 132
562 816 842
426 461 14
751 704 481
759 520 741
453 48 853
118 741 73
198 5 289
189 317 412
675 218 782
735 351 864
402 530 68
697 28 867
58 450 791
132 79 273
482 143 25
506 579 980
274 693 681
741 746 301
761 824 69
335 833 693
559 27 976
800 650 179
650 473 274
817 456 915
256 672 735
155 111 963
804 638 785
104 650 583
562 15 581
792 746 36
739 580 431
789 463 206
466 256 658
183 532 730
631 382 770
812 346 386
549 370 465
472 773 72
120 369 97
140 392 472
700 612 623
261 549 212
635 336 401
606 600 918
240 751 83
728 423 159
296 525 5
815 43 211
71 818 973
576 738 100
494 602 204
33 635 445
307 612 787
389 61 453
571 747 253
728 22 639
572 296 296
708 778 268
573 80 581
826 343 258
798 56 405
542 777 220
457 500 676
217 344 259
289 60 611
740 715 402
52 801 757
252 573 578
282 665 689
479 632 109
515 761 488
560 582 393
356 817 921
727 63 371
373 88 112
655 480 862
346 563 604
806 818 170
360 122 882
363 647 191
222 323 931
84 826 201
825 774 26
151 641 466
636 791 810
726 806 714
265 548 136
467 492 627
574 824 827
287 505 267
64 146 563
552 337 966
739 538 552
731 635 608
7 710 670
40 719 443
86 30 499
315 357 238
288 742 478
546 170 158
137 586 703
744 606 253
823 109 632
751 608 160
202 551 293
263 60 489
361 140 507
667 439 206
778 698 836
127 776 929
372 450 212
75 313 65
556 515 274
829 541 914
152 85 101
272 76 923
751 61 865
324 591 350
44 731 829
520 105 298
268 56 564
793 776 719
315 154 189
366 37 960
309 411 198
151 681 712
343 363 583
400 80 62
439 320 811
693 582 300
65 315 21
259 67 974
298 265 168
85 757 981
22 117 204
196 675 895
426 474 939
289 165 538
152 406 761
769 72 442
314 457 755
475 754 376
816 346 671
235 460 978
236 459 128
11 267 924
594 719 148
348 184 378
404 578 82
92 674 945
819 374 860
385 755 408
125 386 785
54 567 584
774 370 172
428 692 37
389 230 212
539 436 934
820 262 752
817 107 976
686 253 691
718 670 379
154 783 240
802 398 976
121 241 163
482 634 46
572 671 38
401 800 943
119 710 796
576 612 270
653 71 869
624 243 181
418 164 102
352 199 744
9 771 498
716 328 999
690 172 659
344 471 178
670 354 163
634 185 388
696 517 764
392 548 215
827 570 575
655 534 82
513 177 311
22 188 528
99 398 98
757 370 818
267 178 242
658 629 645
81 661 376
806 504 674
256 115 768
622 202 970
552 580 695
210 594 400
778 526 549
613 65 885
446 293 856
341 305 198
105 551 434
103 208 913
771 627 867
195 627 710
127 765 792
111 192 192
120 712 114
302 792 686
615 48 991
482 45 264
790 339 44
727 154 893
320 472 45
626 511 794
528 195 269
244 530 288
526 306 894
22 647 250
394 737 530
804 654 747
323 392 49
644 557 338
380 382 119
734 314 185
344 681 324
551 133 310
696 769 744
492 612 353
833 322 102
611 727 260
143 784 812
365 750 214
431 134 169
748 286 703
439 318 423
552 233 585
294 81 336
769 390 817
550 76 201
796 357 174
302 13 147
19 181 839
518 157 45
769 262 562
605 353 690
790 270 17
794 574 185
310 265 542
224 484 504
93 618 4
427 436 174
184 296 107
625 303 48
258 559 858
254 118 210
200 164 101
47 221 538
598 664 99
686 644 203
5 470 956
784 239 156
151 182 251
536 523 530
291 715 214
509 438 165
376 102 775
86 391 939
431 272 74
95 353 649
501 267 675
110 164 439
789 766 857
87 237 423
796 70 116
678 461 721
299 287 41
818 319 67
532 337 975
290 130 747
389 11 830
147 502 810
133 74 773
552 1 250
431 248 388
286 17 665
211 218 810
189 617 398
25 476 985
481 258 364
780 584 283
284 267 505
221 130 890
652 601 969
635 667 269
793 519 304
818 769 116
596 190 135
742 265 20
59 100 654
756 347 558
237 397 559
413 548 91
229 625 558
645 792 679
430 409 262
174 609 126
380 615 569
17 329 667
4 430 696
275 779 162
626 12 363
677 672 378
679 293 340
127 298 128
668 654 542
789 145 881
522 303 600
614 283 407
218 615 69
251 696 118
471 238 450
251 224 323
130 621 667
419 770 837
201 501 59
17 294 72
108 443 899
830 746 197
559 463 227
467 71 93
399 417 677
770 621 393
224 730 470
516 264 983
143 756 851
717 278 249
42 543 958
703 751 349
48 754 187
120 542 883
521 482 529
139 83 276
127 689 439
99 127 496
757 343 877
76 367 107
578 112 862
124 42 596
723 231 616
96 472 358
724 810 99
247 816 448
755 66 574
809 345 806
294 49 545
32 580 402
581 715 636
179 824 518
266 152 184
446 133 487
343 369 452
358 156 801
593 127 536
462 448 790
168 493 146
666 690 79
365 543 478
136 821 252
405 533 631
189 449 582
403 799 484
42 378 177
218 659 805
362 741 987
681 366 427
61 534 139
655 303 227
315 248 945
559 469 23
316 575 733
59 666 948
699 121 452
738 546 213
345 385 869
479 469 471
300 466 666
615 77 481
78 761 187
638 148 189
819 95 146
506 344 251
476 465 1
736 243 911
321 730 540
174 93 260
424 52 533
279 648 558
9 131 701
276 63 845
428 612 420
452 119 776
300 257 801
251 427 277
551 773 326
628 237 727
804 51 880
673 4 315
505 285 824
394 148 679
30 50 578
4 207 472
824 618 618
493 499 305
251 338 731
131 180 662
586 539 891
683 428 743
732 575 244
432 778 499
453 803 304
181 46 882
477 233 115
70 269 307
157 347 754
259 612 489
694 601 53
667 745 384
6 246 72
644 624 491
778 116 595
9 799 427
146 613 262
37 738 935
392 411 613
716 115 583
103 143 252
128 587 608
812 635 344
515 663 154
236 750 551
272 94 328
793 314 284
788 677 335
488 569 802
720 770 768
338 158 514
562 21 279
185 431 458
138 633 514
792 211 401
294 35 176
404 740 832
24 79 53
141 701 712
51 293 609
237 276 569
131 43 861
706 609 962
366 464 295
153 686 677
433 822 34
833 261 49
289 577 147
206 34 536
46 565 131
750 300 453
419 27 132
733 62 308
407 331 439
792 377 566
622 327 289
60 644 500
708 157 976
161 453 761
481 515 37
659 465 150
138 523 31
256 826 459
35 664 396
648 469 118
655 829 734
651 12 451
753 796 323
123 3 600
248 473 555
42 455 346
651 803 639
554 564 917
167 257 610
269 535 759
101 231 72
325 64 392
225 691 251
429 834 991
19 49 661
629 284 434
132 3 512
594 187 385
131 444 414
310 8 548
776 171 678
338 777 552
563 254 945
290 419 39
260 269 904
500 240 422
160 289 126
91 395 76
811 327 923
359 46 37
420 270 709
285 700 51
452 160 619
162 356 262
6 435 821
675 119 878
26 634 619
351 357 168
23 627 433
656 535 565
118 417 451
396 778 949
61 724 902
344 542 398
383 184 67
710 510 151
685 372 584
832 518 692
549 626 195
761 578 981
339 92 493
465 97 465
695 593 351
422 136 522
437 771 746
389 304 297
758 441 535
174 313 608
166 803 104
715 585 40
139 172 558
750 829 520
3 369 771
393 163 630
732 535 258
544 345 639
545 485 125
270 454 442
393 21 149
177 464 493
195 500 352
771 260 696
12 649 61
320 777 759
314 377 253
289 67 794
500 760 152
573 598 834
305 292 182
800 60 62
561 631 715
185 60 295
572 510 720
546 609 769
470 453 28
477 501 957
325 181 841
736 628 224
244 9 453
13 643 667
653 398 71
281 553 359
704 77 252
760 339 669
100 64 406
289 90 996
633 448 233
30 423 502
486 463 682
193 646 857
459 646 434
533 359 220
539 47 959
386 315 581
342 807 154
654 787 925
116 822 725
794 165 665
179 6 550
370 751 876
704 13 887
146 378 233
492 545 157
66 715 446
145 637 906
495 742 63
659 244 288
582 785 49
386 412 597
642 320 67
340 326 466
384 665 730
392 249 21
289 119 194
294 650 259
72 189 61
91 506 538
632 64 507
289 65 251
518 832 635
350 150 835
412 575 641
615 692 7
722 244 823
470 16 429
142 113 803
253 721 619
590 241 709
287 577 662
742 829 830
390 195 702
337 459 635
641 442 87
177 520 49
342 824 459
127 767 65
227 115 922
725 198 530
500 606 119
109 225 444
627 81 809
767 616 918
335 596 320
827 297 36
370 285 953
813 323 809
194 199 212
303 509 484
483 413 769
767 592 600
158 143 385
435 741 975
298 193 21
62 468 319
365 304 56
797 76 650
676 758 758
524 707 340
330 358 553
607 169 624
630 145 12
472 646 493
594 235 267
627 448 566
494 633 382
619 539 890
63 403 811
249 109 945
512 634 667
70 105 175
629 274 799
369 9 787
284 557 473
401 747 383
49 501 601
95 469 1
279 564 980
616 652 824
397 290 394
176 278 393
39 823 530
692 516 630
791 590 615
427 89 649
218 494 200
793 809 527
104 579 880
134 626 87
320 27 364
145 675 717
59 833 918
653 33 194
402 783 190
185 821 851
372 765 222
125 672 531
222 160 488
24 771 626
25 417 870
475 16 902
722 329 73
43 538 262
768 255 516
484 306 645
624 613 850
525 147 334
693 146 295
86 544 177
129 756 771
57 265 912
651 805 215
477 652 408
570 225 343
18 128 693
559 602 154
811 149 953
248 122 897
202 296 859
189 655 454
291 7 228
793 472 94
474 818 890
180 18 213
614 553 407
731 422 861
72 41 215
816 329 205
578 211 702
797 455 375
699 376 17
364 272 597
609 423 348
707 716 861
674 212 388
445 225 750
327 376 251
452 285 960
128 734 28
601 501 693
249 447 629
47 425 215
180 14 166
415 206 39
665 807 759
574 441 40
782 177 565
727 79 447
263 102 345
532 635 832
299 487 725
201 387 304
599 519 67
53 552 997
650 137 199
374 582 332
358 634 65
639 343 47
518 656 356
601 319 31
732 436 748
820 359 53
769 200 936
71 591 784
429 151 959
465 86 430
200 357 4
582 777 748
203 441 343
681 90 503
239 323 964
546 780 366
432 588 117
455 514 970
754 489 669
524 404 190
558 282 287
138 253 783
256 108 140
730 148 460
121 152 206
688 307 353
525 136 276
231 775 73
17 764 892
599 221 81
737 531 735
511 262 671
798 787 347
375 664 838
698 403 765
647 216 142
173 107 466
681 329 641
629 592 112
689 530 424
812 778 439
558 39 474
376 2 560
336 72 624
571 480 5
637 305 20
187 542 873
621 524 686
248 71 382
331 690 729
390 313 772
299 635 42
619 56 313
595 585 825
454 821 475
759 577 378
294 289 594
609 623 604
496 396 613
766 391 564
371 506 726
320 218 955
280 628 437
169 544 870
19 491 802
386 153 550
643 439 656
191 799 325
284 244 557
392 567 80
469 76 935
119 744 342
286 257 955
727 169 877
579 555 860
520 117 110
204 189 545
737 362 280
134 626 392
659 211 306
576 737 343
393 667 817
117 746 1
815 364 812
284 460 4
777 784 48
478 700 580
656 828 3
45 178 329
81 681 720
683 316 368
621 128 547
680 59 30
295 452 308
95 260 696
178 739 792
800 510 71
805 450 862
708 490 764
519 743 982
69 31 183
788 48 647
277 16 212
213 16 584
808 197 56
812 634 379
377 550 844
243 358 907
222 357 228
269 315 657
721 814 308
517 227 729
288 45 43
606 1 326
555 697 244
307 717 41
361 198 115
740 662 414
752 651 831
433 28 482
476 50 531
470 314 339
391 630 44
85 394 849
431 692 242
663 688 867
599 92 299
511 500 850
106 380 265
670 664 821
466 320 252
291 93 307
244 132 294
48 215 187
727 363 358
425 807 738
367 612 159
30 213 317
803 10 339
791 313 822
544 268 447
167 228 512
329 399 605
549 538 444
595 826 842
812 604 819
796 196 659
71 107 902
597 675 795
646 241 1000
173 739 513
106 788 465
306 480 169
410 374 963
184 392 598
766 646 930
790 97 930
444 494 549
60 239 711
605 191 358
161 227 425
16 725 678
832 452 714
813 472 265
818 435 817
245 419 168
511 548 754
70 657 346
684 737 344
543 545 649
690 310 374
693 14 247
824 494 548
355 500 196
626 819 453
55 119 289
232 133 457
569 634 147
189 172 56
314 40 993
510 332 414
529 193 264
144 752 10
601 619 963
32 254 436
704 636 580
312 209 885
235 199 869
639 46 597
614 77 816
697 285 976
489 638 60
307 341 116
552 330 85
261 134 522
574 460 908
138 332 977
92 460 544
57 536 222
790 577 466
302 762 600
49 736 253
572 398 415
190 297 555
569 54 294
338 303 985
449 535 859
537 640 894
634 561 810
632 96 181
417 735 853
572 235 182
453 332 433
541 745 514
668 247 772
350 822 793
273 49 831
20 381 707
168 574 927
736 553 375
652 673 989
79 600 804
393 19 16
809 448 6
401 664 370
318 707 458
398 140 732
58 229 505
623 415 170
562 380 732
648 663 77
400 95 696
216 818 832
412 423 335
717 216 172
799 261 832
76 709 478
450 600 469
471 264 880
50 233 843
362 183 802
744 644 548
645 582 915
364 662 374
752 232 482
178 206 47
251 498 852
450 62 458
343 216 471
733 380 911
674 100 578
514 54 839
724 421 437
390 468 897
700 620 572
603 350 972
633 315 392
787 690 210
676 218 424
760 199 449
593 110 780
540 108 380
120 192 98
55 82 425
589 272 803
136 429 231
134 28 698
462 408 951
653 235 379
820 374 361
10 56 438
834 653 236
666 392 625
373 431 774
164 4 274
63 545 568
264 48 157
523 107 257
426 158 212
387 413 921
362 135 86
579 443 610
98 513 823
562 589 797
592 331 149
164 107 370
508 718 674
264 325 686
120 171 987
284 768 582
58 87 611
668 511 669
699 525 190
608 402 367
207 502 364
251 174 119
674 313 393
696 773 818
268 356 682
51 264 42
517 206 619
830 390 562
78 759 694
722 4 859
482 736 211
76 739 691
293 325 657
697 437 326
54 717 547
274 319 417
296 773 690
586 221 168
267 445 249
272 264 840
519 333 369
16 10 523
147 95 629
525 683 940
23 685 329
394 84 332
446 66 628
542 314 821
739 504 834
302 60 220
406 751 779
613 162 745
42 682 715
287 747 794
347 162 287
787 169 239
122 632 706
549 166 573
138 457 428
116 659 993
519 735 306
397 675 625
1 670 306
582 766 414
240 135 810
616 135 596
623 546 993
535 751 639
599 457 662
670 100 815
423 719 889
203 529 108
456 825 140
226 21 520
540 288 875
523 378 731
243 18 752
193 728 331
187 23 13
443 169 801
524 308 358
392 291 100
807 636 412
320 488 585
665 565 468
474 732 301
448 551 983
94 533 609
640 594 743
217 421 191
133 334 263
788 198 332
629 472 293
361 506 584
54 445 329
388 560 880
139 86 346
422 513 811
151 688 468
701 56 809
787 375 899
671 498 386
671 450 525
752 365 454
491 330 155
833 367 95
50 798 812
543 428 382
289 470 474
751 642 671
615 214 794
580 724 659
740 782 794
293 367 525
785 181 508
95 67 541
70 80 63
650 167 71
172 261 996
731 638 444
557 461 794
219 44 894
388 280 533
481 295 803
227 589 64
525 645 11
67 254 167
144 138 916
799 216 805
281 518 144
341 324 444
778 626 316
225 627 673
263 62 175
3 828 681
724 572 203
140 137 714
176 754 842
607 544 302
71 669 193
457 592 404
232 576 375
250 342 404
282 786 378
415 788 631
191 668 646
570 818 570
520 397 609
57 388 804
711 560 139
70 491 307
369 305 659
668 293 165
592 480 887
254 214 525
558 628 304
405 109 90
396 25 325
392 499 474
13 831 976
473 665 809
403 367 298
74 825 184
531 38 747
24 481 452
633 138 262
148 483 291
307 456 923
238 13 371
377 663 344
791 660 58
374 289 77
800 472 593
416 448 118
155 825 793
278 575 217
125 346 852
834 823 815
255 545 527
300 472 478
507 387 98
597 111 352
530 592 851
222 564 404
310 486 464
203 468 293
88 536 445
550 657 737
341 795 252
742 414 797
618 160 153
568 380 1
576 653 501
241 518 483
307 655 13
610 319 327
734 47 185
214 304 138
756 380 381
285 437 248
400 518 635
576 38 752
454 630 394
740 483 460
509 516 98
692 750 118
653 811 542
112 570 718
654 164 683
116 698 270
425 16 328
662 750 837
221 580 94
332 562 943
351 827 810
146 187 232
569 222 255
216 736 439
413 114 647
126 28 818
311 607 333
175 516 275
134 653 793
516 675 48
555 512 940
401 221 207
768 169 688
84 521 658
212 142 362
706 749 441
121 201 807
606 765 882
655 642 85
654 822 188
811 193 848
138 277 842
366 709 633
591 263 695
782 146 618
421 527 54
383 304 751
792 743 353
350 520 346
773 559 966
106 609 638
280 507 641
258 786 12
173 596 601
541 55 918
543 403 733
141 342 846
471 825 640
542 637 435
598 673 208
313 489 311
254 124 668
814 103 655
654 802 927
794 514 557
129 220 892
440 558 409
620 219 109
712 608 205
102 490 374
489 305 145
738 307 546
489 570 886
130 665 123
308 661 884
360 212 568
559 130 820
821 26 82
79 435 794
378 350 313
725 392 203
180 61 114
381 14 591
35 567 131
319 683 800
743 820 511
718 302 853
324 752 726
84 306 369
383 139 422
198 179 410
271 400 202
642 350 819
246 232 957
455 184 316
354 412 300
369 416 120
105 804 636
229 793 370
28 206 524
602 17 242
649 72 936
205 533 896
760 147 114
488 739 389
480 215 528
490 239 633
788 458 577
506 122 257
46 212 253
266 822 704
75 30 434
598 575 934
163 54 623
350 149 550
597 757 923
742 17 229
70 407 113
304 731 918
522 700 196
590 327 980
834 745 519
737 774 640
424 372 856
214 682 578
41 614 308
333 419 917
657 202 588
603 489 756
750 335 160
529 468 63
592 179 821
