9102 26857
4679 2520 776
4541 5480 -132
2675 2427 468
3074 3289 447
8226 5154 -346
399 7557 712
8193 5671 132
4035 8710 518
4296 6807 -763
3261 5892 624
5561 2022 524
7687 3669 -984
254 3977 258
6701 7481 -303
905 2714 -534
5955 2407 114
4020 2412 -323
6070 8140 -269
7386 4894 -454
3279 7606 718
7178 7019 232
3077 5154 -566
6252 9020 -703
209 7061 740
4696 4720 -479
1200 4334 -371
327 3982 976
1061 5073 603
8872 2183 -171
7050 4560 -877
7136 7119 -853
8866 480 488
1908 833 75
5709 6800 -877
8374 5050 -19
7363 8525 -727
3885 2971 276
4192 2010 -834
4831 8387 -863
3804 7756 852
4315 364 515
3898 7806 -5
1157 6951 623
7503 63 -242
3449 6858 -44
7101 1623 -1000
414 5623 -944
3290 8906 -951
7159 2628 -475
3234 3007 -859
1959 1509 -853
2611 1499 -575
4113 5485 50
5700 7663 -978
7986 3465 -6
1384 6915 534
411 3970 42
2746 2878 -78
861 5048 825
7543 5293 797
8684 418 -998
7134 8823 81
2448 7705 -550
8997 4237 578
5865 3087 818
6889 4272 730
1775 6714 49
6680 7829 514
1997 962 412
2706 8485 63
3122 5561 685
1217 3898 42
3357 5803 -773
8764 1298 477
5516 4821 326
3669 8189 682
2083 8042 419
4791 252 676
2813 4946 -875
3907 7280 448
7537 8855 -882
806 5308 675
8908 3468 -270
5728 7669 -520
8380 3405 -856
7600 6601 399
6743 7055 -475
1718 2579 771
910 1281 620
2383 452 92
3774 4948 -554
2182 7288 10
1028 1852 965
6057 735 466
6001 6746 401
4335 6400 -956
7514 2208 921
5424 7667 -793
8043 5003 -171
6337 3780 -316
219 4155 825
5169 1190 -722
2936 157 50
2616 8830 -909
2070 8215 64
4337 4301 -550
5268 1659 -93
248 2392 -836
6780 751 252
5479 6448 -244
7413 2187 -429
3958 2010 799
1113 3717 -34
6792 8760 -325
4062 494 -463
1156 89 679
6303 5724 -40
2227 7496 43
1544 565 -435
5457 7447 888
2359 7267 -250
24 4790 485
3836 6975 -285
4373 1907 330
3470 1815 -500
4353 1984 -436
694 6443 715
3784 6748 -331
6231 1370 -942
7450 770 -817
78 8299 442
3922 6223 511
383 3564 -884
7999 2996 258
7649 2517 -245
7374 2698 675
3800 3596 -777
3311 547 -39
1504 941 695
3526 8426 46
8103 4676 -159
5879 5168 -20
2991 7380 -392
2590 3505 911
7107 5228 -522
8403 2078 646
4506 2209 508
8583 8878 -683
4020 1947 -895
448 5087 -960
3596 6046 -315
8057 7707 997
1385 7996 605
5775 4497 590
8839 6097 135
1790 2810 -886
9096 4883 -939
2395 1635 433
2944 3257 -145
7373 7971 623
6497 4537 442
3191 4486 199
4376 1411 377
8766 8374 273
6024 5970 -152
8436 7866 88
8268 6927 -754
8667 5563 73
1334 2692 299
4265 3971 -622
3450 5152 -987
5100 665 343
4156 1781 -110
1790 2195 -991
4940 5268 808
4892 8686 871
630 408 -234
376 7541 287
2698 4229 850
1268 6303 13
9097 4631 397
845 4996 703
4575 7378 935
8304 1871 -7
5589 3894 626
7832 7362 -382
8543 2716 119
2496 3304 -138
461 3397 892
1947 3047 -780
3142 2580 202
7712 5845 624
2355 3403 659
3203 1102 136
3191 3360 -214
4928 8183 267
3073 6352 75
6443 4080 -333
7933 6626 734
555 6430 -305
2578 3001 5
4474 609 -430
3310 6349 -148
7252 1476 966
719 969 -282
6267 2627 10
8068 2880 631
514 8719 773
8181 1224 51
8183 7482 -611
7042 196 988
768 8867 162
137 6585 -947
1355 5960 -994
1950 614 502
3358 4632 -47
7318 5192 86
5528 3912 461
3623 3567 -635
2041 6116 705
1533 355 -418
3388 4331 -847
7625 8895 -705
3027 453 107
8660 2969 220
2216 8251 100
8174 1667 129
5271 5730 -235
5933 1815 458
336 4158 -34
8123 2041 38
6517 2900 -324
2138 3341 -180
8032 5486 568
8610 7328 212
394 6908 165
2147 7936 -12
7603 1048 598
6317 88 158
7331 6347 614
2148 6587 -904
5162 4016 97
2334 6146 -786
7235 506 204
7767 2958 -641
544 8913 193
2088 2694 722
1529 7353 -134
6132 1831 601
8061 910 -923
1035 7756 712
8800 6488 613
4892 8218 -378
8583 33 860
4743 1102 -276
3829 3854 -405
6450 192 405
2501 6439 -263
6085 8932 735
5893 2375 -936
227 4870 -424
5070 4283 -974
8278 486 4
3458 3285 680
2572 4238 479
7405 4050 116
7577 8476 -509
6092 5392 759
356 3629 492
8826 4739 -442
5819 6179 -507
7733 3715 491
5633 5095 -3
7800 2367 -819
6528 2655 -868
3413 114 641
8441 7134 -684
4900 5433 -770
7724 4381 343
5582 6665 -763
7027 6702 411
4907 5790 505
6317 2767 -977
5354 1149 886
8031 3804 9
3832 419 -673
3692 6604 888
3726 4540 -510
3538 884 543
1835 7643 474
4863 6034 -224
174 390 474
212 4999 279
4423 7257 21
5829 3365 -631
672 7192 480
8296 5336 407
6921 5028 -94
1773 6155 831
3697 5378 558
2277 5305 -280
8819 1543 -907
8753 6006 587
1597 1380 984
6454 8786 574
5147 2623 -453
2225 5222 -554
4556 6324 991
4014 5803 295
5768 914 -537
8963 173 735
7062 7773 -51
160 3039 -316
3390 45 987
5323 8994 559
5686 1540 320
2485 832 -478
1177 6858 -65
8981 8599 540
8017 9076 342
9072 1170 112
608 4740 -121
1077 3968 281
3609 6557 -762
3857 4055 -503
6294 5178 -22
4630 7902 864
7769 6411 -65
1527 7733 565
42 7137 155
8869 5588 -967
8853 6247 -966
4118 1565 729
8284 2224 537
5136 6941 904
1182 8632 -828
2825 4536 526
3682 5650 652
6183 4168 -975
3096 6908 29
8538 3371 81
1606 6396 -847
5730 8491 797
2815 783 862
3712 8404 810
7330 5966 -320
4181 3859 794
5428 8179 -406
4741 5490 -585
4275 158 157
6766 7372 262
773 7836 36
4779 4283 -663
1000 5547 129
7691 6029 57
5288 3120 -969
2286 376 655
2563 3228 -947
8056 6565 -954
5525 3669 -8
4637 1284 -892
908 7670 998
9059 5683 588
2667 8032 -705
2382 7453 928
783 149 958
7146 3731 763
7791 1089 -66
1504 5527 -571
3479 5146 -108
1275 3519 -939
7357 3993 -151
2442 937 -659
1138 5991 825
8706 1313 742
890 1774 -879
991 3289 655
6126 3064 -298
1168 7666 -437
8500 2488 270
7870 1405 607
8848 5411 109
2521 888 -193
4047 6497 -293
7698 4886 -728
2254 2053 -526
8824 2175 882
5259 4874 -111
6944 8493 -875
7653 3158 -746
1259 207 359
4353 6064 486
5312 5347 489
738 6225 -49
1700 1274 -891
4798 5504 348
8202 4051 -161
67 1188 -99
1795 6404 501
8623 7971 829
473 869 -783
5842 7196 855
3254 4058 413
2652 6082 -723
7172 875 -112
7783 7728 718
4853 972 930
8483 7627 -625
4141 7695 -478
5286 4223 63
6681 4080 19
1403 8920 -897
7082 2924 681
5760 222 -41
4384 3059 323
6280 7339 -649
4471 778 -876
6885 6798 -393
3080 3087 -974
7924 1423 -674
801 6781 96
4430 4619 -391
8982 4820 843
5903 7074 -995
4327 7018 101
1301 5804 992
6096 2040 999
7180 4543 973
1339 1333 -561
7978 3139 -243
784 7568 -432
3691 4616 -971
1609 3321 680
4638 5761 820
7887 6617 267
8524 7510 -530
3585 4794 -658
6546 4411 799
5299 3212 -340
1556 8610 -434
45 6987 -699
8549 2480 -542
3112 5613 -992
5669 3082 431
7224 2155 276
6523 6932 404
3367 9002 329
5066 6702 -736
8824 6790 -392
8283 4630 910
8015 5185 -604
2421 4533 665
2241 3558 153
2023 8163 239
3361 1318 838
642 7627 939
4939 8819 -579
266 5936 -449
4877 4888 961
367 4079 55
6898 2558 796
1808 2519 -410
2021 1058 -190
4547 6014 -790
8208 3169 846
886 8477 -880
4489 1939 220
1062 4997 -962
5160 8301 -437
4485 1397 -529
3725 6896 -46
4493 2436 -197
8673 2817 -397
2578 5271 -977
7976 2753 -853
3917 5921 -561
6397 3626 10
3827 4744 206
7393 9077 -495
7380 3581 59
1901 3424 773
8190 907 527
672 5623 -819
24 4727 -241
7979 7502 472
4830 2830 -365
3461 6852 -23
4140 5070 -844
1067 5533 635
1344 6721 -825
5964 5997 571
4421 5953 726
845 333 -231
4561 5688 155
6799 5934 130
5121 1014 -121
8198 4081 -765
4578 5082 22
6837 5953 598
4260 2804 199
4305 2054 -408
3626 2106 41
2197 199 951
6252 4302 853
7370 5516 -917
7020 6308 370
8333 4587 800
4236 5338 984
4226 7118 -318
3998 8996 -764
6806 5064 481
4868 324 83
5223 8459 915
7349 1588 -280
794 8310 -623
5308 8213 880
3912 9099 983
9015 8971 476
3790 7373 -176
1431 1454 -314
1686 5768 370
7561 3077 17
3879 5673 700
8370 6585 59
5144 6418 775
4095 1105 743
3009 511 -313
1489 6927 -509
2960 8636 -100
2571 5897 -894
3286 1612 -770
5025 5026 890
1946 8100 -782
4102 1075 -16
8524 4628 -532
4547 8367 552
697 8713 106
4288 7428 483
5017 6866 -2
7180 6849 -423
4897 1118 -322
3910 730 222
1887 6300 -465
1712 9081 -235
7366 5029 -817
48 4384 222
2735 8554 601
6874 7864 -527
5156 1143 461
9025 6693 779
6417 2746 159
5192 811 467
2601 4740 970
7096 5624 -687
953 666 -952
4561 9035 496
4977 5246 421
2386 421 288
1108 8159 -846
7849 2471 -276
5576 8087 -240
5349 451 782
1832 6214 -52
2392 4649 811
7476 1417 -323
7498 3195 -237
3399 5693 -472
5571 9031 749
3392 6100 -460
2837 1589 986
2370 703 490
3822 8461 -815
563 8820 -12
66 8587 -909
3129 5886 448
909 1325 492
7855 5176 649
4265 5765 -60
7276 1947 -766
2750 8991 542
8744 864 883
2847 2009 371
2470 3353 685
3506 866 -231
7937 5115 661
1472 8549 189
2028 8439 263
7255 4581 -893
2044 792 712
6698 3949 168
3415 2221 -875
3869 9080 439
1580 1316 -612
1920 3146 867
2965 8681 -159
8358 3874 232
8518 6948 -935
3207 4582 -385
3091 1346 -696
3835 6412 -827
2788 1176 -321
7996 6113 890
5941 1640 -829
6064 4444 209
5592 6795 879
2863 6289 335
2113 1318 -884
6054 4329 -478
4996 4142 141
1830 7252 899
343 8310 -827
7240 2192 -960
5182 8056 986
7930 3498 85
8390 1372 -496
2369 7121 134
6619 6628 -486
1729 6380 -638
3245 4139 -184
3959 323 -732
8841 469 416
889 2508 -398
5037 1973 -509
6416 5371 525
5418 7937 -336
8004 5569 -92
2623 8443 -758
5493 6493 921
7888 8614 -229
1962 6145 -762
3890 3463 -564
6682 7180 809
4154 4265 -622
5543 2546 157
795 3518 34
1790 6971 771
4226 2209 -873
4914 534 -465
4551 4117 305
1080 3986 -278
5828 6122 829
3627 8457 540
3501 3399 302
6545 8251 412
2466 83 593
5879 6914 270
689 2875 -473
2347 5216 343
2698 2570 -689
6250 843 -340
4195 5714 -296
3808 6419 -742
997 5903 612
6422 4427 998
788 2809 127
7886 6186 -272
8325 3636 -394
2973 3802 -993
6106 2429 -264
194 1338 -662
4058 5641 -535
2269 6293 999
8716 4782 384
7652 7264 869
191 3021 -706
8741 2678 837
1879 6577 962
8400 4963 482
4348 1975 924
3705 5857 284
7171 7810 -538
4680 2351 764
7540 1376 864
3848 355 -248
8018 3810 -631
2176 582 843
7277 4326 -859
5322 2084 328
2534 6074 714
4194 5531 -8
402 6710 -451
3126 6735 -421
3220 5153 320
2325 2017 854
1941 2347 -54
1309 3748 -148
2681 1841 801
5467 2737 71
7130 6385 -174
143 6331 -740
2572 1754 -349
2105 8891 -523
6106 7369 -869
4211 7342 -306
3397 568 441
5938 974 572
8251 1032 -63
1851 4358 105
8163 4506 -44
219 2330 520
8175 3929 275
9080 150 845
6313 94 232
1499 9100 479
2486 2152 -778
935 6039 -227
4467 5842 -175
6968 6655 -412
4270 194 151
8808 5040 416
2756 2094 989
3825 4245 -1
2175 2144 -834
6983 1605 817
6628 7023 615
4425 6443 642
7846 4863 772
5229 7272 449
1156 5604 -621
8660 7746 977
4678 1175 78
2287 4949 -769
1173 5944 -199
123 1860 278
6828 3104 746
1619 6640 -520
6394 9018 895
6508 7258 -251
4353 1678 -969
5734 1842 -499
8254 557 70
8020 7847 -380
4894 2536 520
1225 1909 -685
7753 8799 537
4094 1329 -373
8972 4823 780
2370 3614 276
8762 6774 170
766 4339 -844
6086 1315 -385
6912 1562 -867
1166 6917 -155
6337 4396 -201
3923 8973 -189
2897 3225 645
8182 6751 -236
8637 1617 -589
3981 8044 -114
7139 4011 256
2416 1493 544
2892 8894 -320
4200 7515 204
6350 3968 963
2045 4333 568
4804 3270 545
747 7085 532
6847 5647 -843
1578 7384 206
7081 7726 -90
5107 8217 -755
4937 5348 743
958 6961 185
7058 1861 -902
588 3202 46
2114 1855 119
7968 829 28
1996 5430 -142
7358 353 382
4453 2504 866
8255 6090 465
514 462 -126
107 325 878
531 3442 -98
7735 5565 460
1354 3964 595
8711 6922 575
5839 4050 472
1314 2465 193
7303 946 104
3307 6529 -793
1387 4370 -87
7210 4087 214
6603 8635 -820
1787 1704 740
33 7440 806
8796 2983 -307
3435 6696 -504
7647 2022 441
3834 994 -53
5763 8506 515
7702 8180 -626
6008 294 207
2965 2479 447
4361 3091 578
2833 7502 -649
8407 2154 660
505 4803 666
4333 6679 820
3049 5587 700
7838 5461 -814
5424 1654 614
3549 8382 -598
6838 2356 -824
7486 3836 -850
4749 8649 932
2912 5407 544
580 4141 885
5726 4646 535
6577 5010 485
8907 1695 872
997 8017 -89
9075 1993 -514
3148 5314 -925
496 855 987
8824 4976 331
7404 8451 350
2964 8296 -10
212 2360 -309
1484 8339 610
5395 615 -90
3939 2075 -543
7219 1902 -918
660 5905 -940
3027 8461 -36
8343 8297 102
2338 4511 4
5024 1870 85
5 8416 -496
5230 6726 -300
2116 8 -465
254 5546 461
987 5190 643
3126 1281 -527
5595 7469 -605
4567 200 -41
7545 3852 -433
6700 675 238
4338 7943 987
6220 2427 -7
4686 656 99
3522 3711 944
8779 405 -92
8639 4713 -602
7396 1543 326
3909 4612 483
6773 5793 -339
3703 6965 -743
5377 4941 537
4178 1152 -347
3789 4612 280
2793 2812 -73
7607 5364 802
246 8729 841
5616 8942 97
5781 7086 -783
5716 8693 951
5584 2581 205
4533 1816 -606
4214 1937 213
8553 6565 -173
510 2068 -665
3230 1903 486
920 6099 -765
7619 7194 -303
5842 5499 -575
9013 905 126
8719 608 -219
7942 3792 337
8304 8414 -662
8667 6723 -599
5992 5090 773
7230 3090 -963
8935 4414 184
5661 1913 -142
334 4395 694
4703 2545 -718
2867 832 -297
5648 8178 -545
7330 4631 -642
7995 8909 -214
6239 2602 -570
6457 8611 -931
2266 4468 -892
3487 2658 460
6152 5751 -254
2855 1511 174
6444 1919 401
8376 7810 -480
6935 1991 977
2422 1626 297
5967 5205 -316
8364 1734 7
7612 6374 -490
8359 6022 606
3786 6900 -205
7824 5253 242
424 4858 -858
3075 6999 433
6846 8940 -38
6704 2094 -149
8020 3952 703
8577 5573 387
3471 5639 -194
2284 4108 697
634 1071 307
2612 1062 115
1161 5389 -438
144 8296 -438
7967 1951 -949
2149 7168 742
2062 439 -360
7891 3684 -281
1899 5977 737
6560 8375 -827
6438 5151 -74
4529 3859 112
5951 480 506
1471 1600 958
2729 7206 821
503 8188 123
759 4041 -877
8703 6924 422
7921 2684 444
2295 4615 664
127 817 437
3485 7910 -621
3280 5466 9
5243 8966 -249
2875 1245 -419
4645 4439 -546
8602 3992 -435
6486 7018 -716
8548 6271 -257
3825 3927 -721
4154 7152 155
8534 647 760
6061 7553 -970
1076 6028 -411
9088 1943 996
940 3176 226
922 8415 -818
5043 5800 -20
3433 8224 -452
7409 3661 -375
593 7695 -903
7173 6641 -154
2734 6581 606
4416 5807 -304
7500 7768 -601
1899 5639 -602
118 1430 232
6946 5476 765
4041 6444 530
8679 1861 831
3502 4872 452
1889 1445 937
9097 6548 -472
2779 241 -497
6557 8836 -692
1647 5299 448
3143 7950 381
949 3200 -416
2305 1307 -924
156 5666 1
4364 6835 -844
7360 276 62
2734 172 286
3228 3399 872
8195 2130 339
1306 3732 462
583 6422 -473
7203 5553 624
8616 5559 -75
8920 3809 646
6202 5042 877
7764 1645 925
8246 7172 289
7968 2281 954
6560 7619 444
3658 4288 -616
8683 7273 -835
3407 7431 -924
6525 6769 974
1905 7099 848
8157 6373 -396
265 3563 -61
8480 847 -95
7804 8109 219
328 3942 17
5743 854 894
4710 6900 36
6023 934 -144
3078 2004 174
5226 8611 722
138 7242 -789
8623 6097 -387
2067 8075 150
4711 4650 -357
3553 6401 -166
8840 7684 -217
496 8774 -230
184 3967 -928
6626 96 321
5959 5234 469
2941 4305 243
3009 7031 7
6566 1931 932
7768 2492 152
8065 4397 270
5195 5681 105
4374 2617 -913
9071 7289 -607
2717 6242 -568
664 7048 750
7125 7488 437
5427 6518 -324
6202 669 604
8681 9010 -899
292 4148 -603
4236 6639 327
2446 4469 -791
3875 6223 -240
2648 3679 -834
5460 3016 759
6169 4883 782
475 3742 25
7249 4009 87
589 3090 -275
1548 4303 -710
1422 8389 -364
651 3866 720
8626 4327 -808
5596 3979 998
3977 5326 -969
3967 5032 -453
886 5355 -139
8882 2032 -106
1006 7415 26
6961 2821 55
3540 3165 -103
8287 8779 576
7202 1263 81
7675 8326 -730
8040 1487 -16
4361 2147 970
4929 5808 -602
1797 2098 732
1383 5016 834
1805 8424 -53
5292 2614 -466
7256 7499 -108
7997 2565 -420
6486 3198 898
6105 7833 -173
1129 8885 -100
8813 1044 564
1741 8558 -63
207 1060 883
5202 3800 -92
9064 3319 -738
3881 6657 -34
2862 518 414
7720 8926 717
6691 3107 -282
8187 1027 -139
1178 6873 884
5922 1129 551
3053 4047 233
4654 205 -692
6659 7951 365
7831 5622 861
7511 4272 -791
808 7914 -824
1059 3072 -505
4699 6069 245
6044 2603 -893
458 5443 935
5952 6706 -621
3892 7714 674
8938 2359 768
4561 822 565
5008 1192 -146
7201 6676 594
3703 3656 231
4885 1149 -519
7705 7696 -667
5244 5392 79
5051 4692 -282
1699 3139 -878
2598 1755 622
3833 9065 118
8304 4525 -231
3373 4867 -302
8610 7626 -364
4082 6055 -618
2754 8684 764
693 8605 32
6126 5046 -29
2610 3039 -857
8343 5567 -725
5831 4008 -132
2325 1092 84
4923 8677 -533
8338 7261 790
289 3863 866
1620 3128 74
6354 2284 121
7282 8682 -212
725 6163 -188
5447 2317 -181
4667 2953 285
6456 4693 1
2067 2504 -361
6776 6330 -241
4002 2553 -978
8994 1354 109
1889 4299 108
4247 6523 -449
7699 6753 -327
8603 7479 890
8277 5310 -741
1090 751 814
8492 2812 129
5800 3961 -124
8356 275 -713
1411 2816 367
1622 1162 -622
1371 8386 -850
3307 1485 879
1849 7231 369
7096 3010 391
7332 4262 -909
7768 8540 -181
3149 3372 -843
3566 5680 36
608 5340 -545
1107 8239 -325
6646 8496 -492
5667 5478 -603
1199 5783 775
294 2287 105
2465 58 -553
6395 661 -191
7290 2251 -806
4092 3194 -139
2658 646 702
4338 5800 -277
7230 3787 999
5801 306 -92
7000 8582 919
6821 766 -287
3419 8139 203
4451 3199 -789
7469 4480 -96
8315 4420 -945
4706 229 -843
4916 3309 261
2866 2267 -704
7088 8633 466
6604 3555 -581
2512 1646 621
4009 2501 -622
6833 1033 850
894 6503 464
4932 6979 191
6297 146 48
7574 8613 907
8550 186 994
4442 8786 -303
4319 4354 81
4486 3752 559
1967 5522 551
6445 1368 780
7856 3263 -770
8469 3003 -986
227 648 -397
5830 3401 -632
1733 2442 -19
3525 6250 384
8156 4404 -138
2454 5125 481
355 5812 -145
400 6892 319
4320 7638 432
2104 7395 848
7360 5516 -819
2134 1569 902
16 378 -711
2361 6855 960
1126 1218 742
1989 2069 137
3415 5750 919
7862 2574 487
7830 6871 -114
5686 8581 -871
2208 4858 511
755 7784 -89
7046 1441 -426
7799 1024 -700
2578 8176 -563
33 8865 -674
8337 9037 -421
2965 191 210
7344 5020 407
5772 6372 -215
6491 6013 941
8849 8785 405
8565 1140 445
3712 2191 64
5737 3338 -774
4979 3608 385
2080 8471 46
2250 4948 52
6837 3451 53
6028 5005 776
2218 8141 -971
7216 5246 -61
4942 5776 -540
2518 1234 806
5215 4292 710
7772 2352 -856
2986 5639 634
6113 5868 -640
2020 2717 22
4712 3604 -228
9002 654 -91
8117 6477 833
4459 8791 -837
8227 3936 980
3380 4806 -476
5624 7703 770
6241 6562 99
2180 6901 825
3410 5262 -972
5615 4669 -667
7972 5473 442
205 5590 -332
5469 6581 -819
7023 7171 -114
9082 1685 -985
3609 7325 -783
6179 1445 880
2196 2403 439
4900 4326 679
5391 9044 -738
3423 746 -847
4511 7744 -508
6369 4997 57
6883 5494 45
2770 730 -348
3056 1320 683
4158 4819 332
5669 815 823
6273 4220 746
7753 6307 370
4499 3193 526
4889 2989 -918
1778 5732 634
3350 6451 -606
3797 6933 -612
716 8520 40
7121 8409 227
6304 6758 -268
6726 3533 6
194 2945 -119
6247 5012 844
7694 3224 85
4846 7490 549
2104 8607 513
7525 5773 -507
7709 1096 -343
8065 3979 -88
1356 3522 -757
7713 2495 -229
5956 1749 -828
3809 3532 -378
5940 5957 348
3580 6773 811
3308 1569 -646
6356 7045 605
4295 6796 -973
3314 1146 -505
5912 6785 -320
767 6230 597
4780 8090 -327
777 6254 -13
6158 1163 799
4021 5274 -922
2157 5847 56
7294 5123 253
2108 2079 -942
7015 4681 -234
3747 4740 -830
5463 3025 477
3330 6267 9
3241 1329 -342
2466 5620 539
850 6480 436
1517 5199 -358
2857 4500 -169
8341 2548 -366
3214 7143 651
2069 4203 205
8356 431 -990
7806 19 959
7410 3181 -338
7491 5131 -109
584 2079 54
5968 6506 1
166 4956 -581
2174 6067 -29
5596 2420 325
5237 3760 -769
7774 2288 -401
6425 7143 286
1514 1276 -310
6400 6579 741
3624 4923 -153
756 8503 658
7917 4022 639
956 5726 -723
2832 7223 -429
2607 4586 632
2471 582 481
2940 1102 111
3485 5355 -198
1651 8255 -966
2416 3150 996
88 7757 -897
3985 3859 895
8741 7457 435
2523 7606 604
390 5435 314
2352 4403 -677
3906 8482 308
123 5471 817
3442 2320 -797
1238 7316 -325
418 8688 -499
1153 3033 -821
1459 1992 232
1106 6454 912
2933 5648 -662
3899 1793 -218
8756 3500 -198
2010 7807 -479
6294 7260 241
8813 1530 -200
4496 7225 -954
1241 3261 813
5276 6428 355
6229 6855 854
3660 865 -209
2063 8803 -796
8017 1900 -437
5013 6343 53
7809 4747 106
5902 3134 -339
1647 7306 842
1717 8130 973
2133 955 852
6244 8378 -181
6016 8510 87
2805 7396 -366
1312 3678 39
9006 5628 -461
7841 2500 18
2026 1116 -802
7787 4931 -203
4556 933 350
8683 1290 -657
638 5041 517
8983 3816 536
3987 4912 -600
6931 8075 -876
3188 2414 -41
2322 4177 -687
5828 3395 -421
5328 261 -523
7572 5158 226
4390 5637 625
1874 3124 164
5710 150 471
8769 3435 484
7577 8150 725
6489 6919 344
8580 564 287
7914 6541 678
1590 3186 -771
6051 7801 808
5336 8475 -153
1114 7791 -804
3229 8026 -534
8460 7915 -983
5147 4952 253
2363 6282 -235
4765 4367 714
6841 5918 -115
4806 7835 808
7576 887 352
9068 518 381
6820 5155 -513
6363 274 -794
7626 481 -835
5398 7278 -710
6180 3310 -946
7428 5696 -160
2997 7961 444
6253 8584 -885
5027 4536 -354
8528 6281 788
5482 8268 -190
6392 2430 -63
4832 5607 420
5587 1165 859
5838 582 -697
700 9023 -500
8778 8560 602
5929 8879 -851
8708 3943 -123
287 3859 -768
2703 8032 -464
8973 8188 -233
617 9036 612
2242 5247 -296
2364 4451 586
8588 4180 500
4868 4215 520
890 3906 -365
7555 2862 423
7928 5105 215
3138 6575 515
7753 7044 -916
338 6919 -537
7642 2924 -833
4305 4992 -376
7663 3418 -250
1469 3967 -581
5230 2690 216
4565 3702 236
984 5824 -468
986 1903 560
7255 1964 482
5147 6194 234
2608 5406 379
1071 5140 -507
6150 3087 631
3131 2606 73
111 6960 300
444 8933 373
1770 1761 -290
3927 5150 129
3910 3520 -236
4631 2864 -647
759 717 -153
4126 3750 71
2734 8356 -858
8694 2106 331
5051 1018 489
3772 1500 -26
153 6601 -823
1766 419 820
260 6702 -966
6191 3165 -947
3442 8111 -808
4532 1185 -786
8545 3579 -42
5182 2049 318
6141 6327 -141
3963 3648 -684
927 4556 563
2112 3532 257
4659 1905 670
2043 2596 755
5370 8096 888
2723 8346 737
133 7959 247
3928 3355 225
3470 1063 934
4060 27 235
610 8410 713
6310 1098 -903
1384 342 364
1095 798 -111
6170 1434 -893
7486 7352 734
6017 8034 345
2283 6870 -566
5680 8549 367
96 7019 -792
6087 5614 -732
5679 8650 -820
6165 7225 -902
4044 7480 598
7621 321 509
1143 1006 71
1074 3825 -316
1077 2417 621
1729 2862 -702
6397 5614 743
7950 5789 374
3389 6775 -351
6737 4986 173
6090 2045 -50
2563 8940 213
6023 3309 -845
5754 3003 452
4284 151 618
6394 1182 845
2385 483 30
3895 1460 -841
3873 5090 724
6697 2994 -799
1250 7779 664
3416 8792 -901
805 5581 -817
3673 400 -392
5958 1544 873
1619 8957 -911
6444 6523 707
2908 6649 658
2851 3024 766
4038 8334 859
5389 4061 -500
5067 65 -942
5325 8674 403
5119 2353 777
895 4204 -747
7091 3273 -67
5353 2828 368
2432 7575 550
8693 7931 -232
5318 4685 684
